"","Sensor","Date_Time","Date","Time","Count"
"1","Bourke Street Mall (North)",2017-07-01 00:00:00,2017-07-01,0,280
"2","Bourke Street Mall (South)",2017-07-01 00:00:00,2017-07-01,0,177
"3","Melbourne Central",2017-07-01 00:00:00,2017-07-01,0,826
"4","Town Hall (West)",2017-07-01 00:00:00,2017-07-01,0,682
"5","Princes Bridge",2017-07-01 00:00:00,2017-07-01,0,0
"6","Flinders Street Station Underpass",2017-07-01 00:00:00,2017-07-01,0,768
"7","Birrarung Marr",2017-07-01 00:00:00,2017-07-01,0,74
"8","Webb Bridge",2017-07-01 00:00:00,2017-07-01,0,22
"9","Southern Cross Station",2017-07-01 00:00:00,2017-07-01,0,35
"10","Victoria Point",2017-07-01 00:00:00,2017-07-01,0,27
"11","Waterfront City",2017-07-01 00:00:00,2017-07-01,0,2
"12","New Quay",2017-07-01 00:00:00,2017-07-01,0,48
"13","Flagstaff Station",2017-07-01 00:00:00,2017-07-01,0,0
"14","Sandridge Bridge",2017-07-01 00:00:00,2017-07-01,0,229
"15","State Library",2017-07-01 00:00:00,2017-07-01,0,334
"16","Collins St (North)",2017-07-01 00:00:00,2017-07-01,0,167
"17","Collins Place (South)",2017-07-01 00:00:00,2017-07-01,0,82
"18","Collins Place (North)",2017-07-01 00:00:00,2017-07-01,0,51
"19","Chinatown-Swanston St (North)",2017-07-01 00:00:00,2017-07-01,0,418
"20","Chinatown-Lt Bourke St (South)",2017-07-01 00:00:00,2017-07-01,0,428
"21","Bourke St-Russell St (West)",2017-07-01 00:00:00,2017-07-01,0,788
"22","Flinders St-Elizabeth St (East)",2017-07-01 00:00:00,2017-07-01,0,696
"23","Spencer St-Collins St (South)",2017-07-01 00:00:00,2017-07-01,0,87
"24","Spencer St-Collins St (North)",2017-07-01 00:00:00,2017-07-01,0,407
"25","Melbourne Convention Exhibition Centre",2017-07-01 00:00:00,2017-07-01,0,297
"26","QV Market-Elizabeth St (West)",2017-07-01 00:00:00,2017-07-01,0,162
"27","QV Market-Peel St",2017-07-01 00:00:00,2017-07-01,0,37
"28","The Arts Centre",2017-07-01 00:00:00,2017-07-01,0,200
"29","St Kilda Rd-Alexandra Gardens",2017-07-01 00:00:00,2017-07-01,0,73
"30","Lonsdale St (South)",2017-07-01 00:00:00,2017-07-01,0,514
"31","Lygon St (West)",2017-07-01 00:00:00,2017-07-01,0,244
"32","City Square",2017-07-01 00:00:00,2017-07-01,0,NA
"33","Flinders St-Spring St (West)",2017-07-01 00:00:00,2017-07-01,0,59
"34","Flinders St-Spark La",2017-07-01 00:00:00,2017-07-01,0,62
